ObjID,type,ra,dec,u,g,r,i,z,err_u,err_g,err_r,err_i,err_z,petroRad_u,petroRad_g,petroRad_r,petroRad_i,petroRad_z,petroRadErr_u,petroRadErr_g,petroRadErr_r,petroRadErr_i,petroRadErr_z,Column1,zErr,cx,cy,cz,distance
587732054311044335,3,120.28519723,29.61303211,24.5993156433105,23.4654750823975,21.6414279937744,21.510892868042,20.5013885498047,1.61698114871979,0.339337587356567,0.118747979402542,0.161932379007339,0.291939288377762,2.97094058990479,2.96914172172546,2.50639724731445,2.03559637069702,4.3360595703125,-1000,-1000,0.53311425447464,0.279376596212387,3.60506153106689,0.21773299574852,0.10547100007534,-0.43843357,0.75073433,0.49413962,10.6526233772937
587732054311044346,3,120.3045734,29.60292308,24.5002269744873,24.6857738494873,22.7455368041992,22.2206344604492,21.9442043304443,0.922831952571869,0.399524033069611,0.176431268453598,0.163235366344452,0.478462010622025,4.58562803268433,2.96914172172546,1.14350748062134,1.76251184940338,2.60630464553833,-1000,-1000,0.156500592827797,0.413760244846344,2.52126789093018,0.242485001683235,0.0845429971814156,-0.43873142,0.75066128,0.49398623,10.5819400366493
587732054311044347,3,120.31580198,29.59356762,25.6416454315186,22.8070735931396,21.5250091552734,20.6589813232422,21.4146118164063,1.40893459320068,0.259827196598053,0.143385231494904,0.102734990417957,0.848998069763184,0.684478938579559,18.0143413543701,7.35895109176636,7.35874080657959,7.35887718200684,0.599644362926483,-1000,-1000,-1000,-1000,0.224546998739243,0.0892549976706505,-0.43891923,0.7506449,0.49384425,10.7873202685584
587732054311044348,3,120.33451287,29.5792032,23.5617351531982,22.4106998443604,21.6327629089355,20.9211120605469,20.1800937652588,1.01254391670227,0.138417899608612,0.115224093198776,0.102145813405514,0.221104085445404,2.97094058990479,2.96914172172546,2.96986865997314,1.86870014667511,2.36982893943787,-1000,-1000,-1000,0.387192368507385,1.1964203119278,0.454472005367279,0.139908999204636,-0.43922686,0.75060836,0.49362623,11.18280774654
587732054311044351,3,120.29582982,29.61470279,23.9886302947998,23.7779941558838,22.4007377624512,22.5195941925049,21.9594783782959,0.915136814117432,0.28231617808342,0.154326066374779,0.254549086093903,0.583419382572174,2.97094058990479,2.96914172172546,1.04116570949554,0.807689368724823,2.33656740188599,-1000,-1000,0.15448559820652,0.0346859842538834,2.28381276130676,0.235753998160362,0.139188006520271,-0.43856561,0.75064051,0.49416497,10.2419680505211
587732054311044354,3,120.34745056,29.57407181,25.4225482940674,23.3674182891846,21.6337890625,20.7039203643799,20.1545810699463,0.940813541412354,0.239224538207054,0.0909631252288818,0.060324490070343,0.160106897354126,0.277122169733047,2.96914172172546,1.27001452445984,2.06142330169678,2.638596534729,0.196634784340858,-1000,0.203165918588638,0.444437474012375,0.923021256923676,0.492711991071701,0.0183879993855953,-0.43941867,0.75054731,0.49354834,11.2583739210372
587732054311044356,3,120.26329735,29.64558314,24.1543273925781,23.7111053466797,21.893424987793,20.7886753082275,19.9584140777588,1.3049156665802,0.374049782752991,0.133732259273529,0.0783475264906883,0.167365849018097,2.97094058990479,2.96914172172546,2.96986865997314,1.48070514202118,2.5718080997467,-1000,-1000,-1000,0.206334352493286,1.27394390106201,0.554847002029419,0.0317759998142719,-0.43800504,0.75065926,0.49463346,10.0224558936644
587732054311044357,3,120.34259925,29.57890009,22.9607620239258,23.4427089691162,22.6559391021729,22.2929878234863,22.3197269439697,0.449693769216537,0.221903368830681,0.190916284918785,0.210390970110893,0.693787097930908,2.97094058990479,2.96914172172546,1.12977170944214,2.96978378295898,0.663395285606384,-1000,-1000,0.215020269155502,-1000,0.551320314407349,0.166989997029305,0.0908539965748787,-0.43933411,0.75054862,0.49362163,11.0589658749523
587732054311044358,3,120.29895307,29.61721897,23.7346439361572,23.7141952514648,22.2287197113037,21.4037036895752,21.2177867889404,0.829980134963989,0.280583292245865,0.137777745723724,0.101448208093643,0.358155846595764,2.97094058990479,2.96914172172546,1.62451767921448,1.06696534156799,1.50953102111816,-1000,-1000,0.553285717964172,0.115106910467148,1.32194852828979,0.361725002527237,0.10317800194025,-0.43859558,0.75059787,0.49420315,10.0245972631275
587732054311044363,3,120.32618339,29.60592013,23.0047798156738,23.9059219360352,22.1446208953857,21.6205539703369,22.4348411560059,0.530520439147949,0.368359446525574,0.145221248269081,0.13869896531105,0.87803053855896,2.97094058990479,2.96914172172546,1.56049633026123,1.32126832008362,0.715986669063568,-1000,-1000,0.293811678886414,0.273875951766968,0.312142342329025,0.213414996862411,0.180141001939774,-0.43900146,0.75047345,0.49403171,9.8820906862892
587732054311044370,3,120.32552303,29.61363856,23.3723220825195,23.5185279846191,22.5033740997314,22.3368587493896,21.1882286071777,0.636138916015625,0.250347137451172,0.17776808142662,0.239733442664146,0.36312347650528,2.97094058990479,2.96914172172546,1.41093575954437,1.73298108577728,2.00591969490051,-1000,-1000,0.259629279375076,0.610826849937439,1.93749451637268,0.306030988693237,0.0713950023055077,-0.4389592,0.75042105,0.49414883,9.48460663031931
587732054311044371,3,120.32612688,29.61545093,26.1180095672607,22.9736328125,25.4249629974365,25.089147567749,23.2562847137451,0.661957979202271,0.217127531766891,0.79869133234024,0.821711599826813,1.04842746257782,2.97094058990479,2.96914172172546,2.96986865997314,2.96978378295898,2.96983861923218,-1000,-1000,-1000,-1000,-1000,0.202638000249863,0.116916999220848,-0.43895922,0.75040293,0.49417632,9.37369491961272
587732054311044375,3,120.31761763,29.62732981,24.970775604248,23.630443572998,22.4621200561523,21.8067264556885,23.8656425476074,1.12693214416504,0.293629616498947,0.186075463891029,0.167643263936043,0.601280570030212,4.58562803268433,2.96914172172546,2.96986865997314,2.05627226829529,4.58392715454102,-1000,-1000,-1000,0.435289174318314,-1000,0.257057011127472,0.121506996452808,-0.43879604,0.75037966,0.49435656,8.97872148354535
587732054311044376,3,120.38352566,29.57281255,24.4198398590088,24.0834159851074,22.6004734039307,22.0755138397217,22.516040802002,0.910951197147369,0.31023120880127,0.159996971487999,0.151054531335831,0.640141487121582,2.97094058990479,2.96914172172546,0.848524987697601,2.96978378295898,4.58392715454102,-1000,-1000,0.074317567050457,-1000,-1000,0.275395005941391,0.143750995397568,-0.43989664,0.75027985,0.49352923,10.9396986260544
